,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
-9.2228E+18,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year
-9.21693E+18,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Como são escrita as risadas em japonês? - Suki Desu,Mycroft: The open source answer to natural language platforms,Portugal runs for four days straight on renewable energy alone,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Design Patterns: Progressive Disclosure for Mobile Apps
-9.19457E+18,"STEMTera, uma protoboard com Arduino Uno embutido",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Put a ring on it: three smart rings with plenty of beauty and brains,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
-9.19255E+18,Chrome OS now has Material Design for the desktop,Million Song Dataset | scaling MIR research,The Skills You'll Need and the Salary You Can Expect as a Data Scientist,The new 64-bit Orange Pi is a quad-core computer for $20,Elastic Stack 5.0.0 Released,"New functional programming language can generate C, Python code for apps"
-9.19074E+18,The Real Product Market Fit,The gig economy as a driver of innovation,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,How to approach machine learning as a non-technical person,"Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow",How to Think Exponentially and Better Predict the Future
-9.18966E+18,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Bolinho de parmesão,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,"Agility in the Cloud: Which ""As a Service"" Works for You?","PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails",Perfect Menu for Mobile Apps - UX Planet
-9.17614E+18,Livraria dá adeus a estoque e imprime livros na hora,Unilever Buys Dollar Shave Club for $1 Billion,The barbell effect of machine learning.,Skully officially admits it's over,These gloves can convert sign language into spoken English,"Twitter killed Magic Recs, the only useful bot there is"
-9.1616E+18,Críticas de design: dizendo as coisas que precisam ser ditas,#FinTech is all about human-centred design - Chris Skinner's blog,How Mature is Your Organization when it Comes to UX?,Campus São Paulo: conheça a primeira turma do Programa de Residentes,35 Innovative and Inspirational Website Designs in Banking,Accenture Launches Content Studio
-9.16091E+18,"Apple's new file manager, APFS, is awesome",Spotify's Event Delivery - The Road to the Cloud (Part III),19 Tips For Everyday Git Use,A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),Omnitone: Spatial audio on the web
-9.13704E+18,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Former NASA chief unveils $100 million neural chip maker KnuEdge,Unilever cria e-commerce para lojas de bairro | EXAME.com,Solange Oliveira,The investment case for employing a Drupal core contributor - Dries Buytaert
